paper_id,year,title,venue,url,authors,author_ids,n_authors,venue_rank
N19-2007,2019,Goal-Oriented End-to-End Conversational Models with Profile Features in a Real-World Setting,naacl,https://aclanthology.org/N19-2007/,Yichao Lu; Manisha Srivastava; Jared Kramer; Heba Elfardy; Andrea Kahn; Song Wang; Vikas Bhardwaj,yichao-lu; manisha-srivastava; jared-kramer; heba-elfardy; andrea-kahn; song-wang; vikas-bhardwaj,7,2
N19-4020,2019,Litigation Analytics: Extracting and querying motions and orders from US federal courts,naacl,https://aclanthology.org/N19-4020/,Thomas Vacek; Dezhao Song; Hugo Molina-Salgado; Ronald Teo; Conner Cowling; Frank Schilder,thomas-vacek; dezhao-song; hugo-molina-salgado; ronald-teo; conner-cowling; frank-schilder,6,2
N19-1104,2019,Graph Pattern Entity Ranking Model for Knowledge Graph Completion,naacl,https://aclanthology.org/N19-1104/,Takuma Ebisu; Ryutaro Ichise,takuma-ebisu; ryutaro-ichise,2,2
N19-3013,2019,Deep Learning and Sociophonetics: Automatic Coding of Rhoticity Using Neural Networks,naacl,https://aclanthology.org/N19-3013/,Sarah Gupta; Anthony DiPadova,sarah-gupta; anthony-dipadova,2,2
N19-1075,2019,Syntax-aware Neural Semantic Role Labeling with Supertags,naacl,https://aclanthology.org/N19-1075/,Jungo Kasai; Dan Friedman; Robert Frank; Dragomir Radev; Owen Rambow,jungo-kasai; dan-friedman; robert-frank; dragomir-radev; owen-rambow,5,2
W19-2708,2019,A Discourse Signal Annotation System for RST Trees,naacl,https://aclanthology.org/W19-2708/,Luke Gessler; Yang Liu; Amir Zeldes,luke-gessler; yang-janet-liu; amir-zeldes,3,2
W19-2608,2019,STAC: Science Toolkit Based on Chinese Idiom Knowledge Graph,naacl,https://aclanthology.org/W19-2608/,Meiling Wang; Min Xiao; Changliang Li; Yu Guo; Zhixin Zhao; Xiaonan Liu,meiling-wang; min-xiao; changliang-li; yu-guo; zhixin-zhao; xiaonan-liu,6,2
N19-1120,2019,Extract and Edit: An Alternative to Back-Translation for Unsupervised Neural Machine Translation,naacl,https://aclanthology.org/N19-1120/,Jiawei Wu; Xin Wang; William Yang Wang,jiawei-wu; xin-wang; william-yang-wang,3,2
N19-1342,2019,CAN-NER: Convolutional Attention Network for Chinese Named Entity Recognition,naacl,https://aclanthology.org/N19-1342/,Yuying Zhu; Guoxin Wang,yuying-zhu; guoxin-wang,2,2
N19-1362,2019,pair2vec: Compositional Word-Pair Embeddings for Cross-Sentence Inference,naacl,https://aclanthology.org/N19-1362/,Mandar Joshi; Eunsol Choi; Omer Levy; Daniel Weld; Luke Zettlemoyer,mandar-joshi; eunsol-choi; omer-levy; daniel-s-weld; luke-zettlemoyer,5,2
W19-2202,2019,Scalable Methods for Annotating Legal-Decision Corpora,naacl,https://aclanthology.org/W19-2202/,Lisa Ferro; John Aberdeen; Karl Branting; Craig Pfeifer; Alexander Yeh; Amartya Chakraborty,lisa-ferro; john-aberdeen; karl-branting; craig-pfeifer; alexander-yeh; amartya-chakraborty,6,2
N19-4010,2019,FLAIR: An Easy-to-Use Framework for State-of-the-Art NLP,naacl,https://aclanthology.org/N19-4010/,Alan Akbik; Tanja Bergmann; Duncan Blythe; Kashif Rasul; Stefan Schweter; Roland Vollgraf,alan-akbik; tanja-bergmann; duncan-blythe; kashif-rasul; stefan-schweter; roland-vollgraf,6,2
N19-1312,2019,Improving Domain Adaptation Translation with Domain Invariant and Specific Information,naacl,https://aclanthology.org/N19-1312/,Shuhao Gu; Yang Feng; Qun Liu,shuhao-gu; yang-feng; qun-liu,3,2
